PHP_Code,is_vulnerable,Description
"<?php
$string = $_POST['UserData'] ;
$tainted = unserialize($string);
 
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__unserialize__ternary_white_list__username_at-concatenation_simple_quote
"<?php
$tainted = $_POST['UserData'];
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__POST__ternary_white_list__concatenation-right_verification
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__popen__ternary_white_list__username_at-concatenation_simple_quote
"<?php
class Input{
 public function getInput(){
 return $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__object-directGet__whitelist_using_array__concatenation-right_verification
"<?php
$tainted = $_POST['UserData'];
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__POST__whitelist_using_array__concatenation-right_verification
"<?php
$tainted = $_SESSION['UserData'];
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__SESSION__ternary_white_list__concatenation-right_verification
"<?php
$tainted = system('ls', $retval);
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__system__ternary_white_list__username_at-concatenation_simple_quote
"<?php
$tainted = $_GET['UserData'];
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__GET__ternary_white_list__username_at-concatenation_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__popen__whitelist_using_array__concatenation-right_verification
"<?php
$tainted = shell_exec('cat /tmp/tainted.txt');
$tainted = (int) $tainted ;
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__shell_exec__CAST-cast_int__concatenation-right_verification
"<?php
$array = array();
$array[] = 'safe' ;
$array[] = $_GET['userData'] ;
$array[] = 'safe' ;
$tainted = $array[1] ;
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__array-GET__ternary_white_list__username_at-concatenation_simple_quote
"<?php
$string = $_POST['UserData'] ;
$tainted = unserialize($string);
 
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__unserialize__ternary_white_list__concatenation-right_verification
"<?php
$tainted = system('ls', $retval);
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__system__whitelist_using_array__concatenation-right_verification
"<?php
$string = $_POST['UserData'] ;
$tainted = unserialize($string);
 
$tainted = (int) $tainted ;
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__unserialize__CAST-cast_int__concatenation-right_verification
"<?php
class Input{
 public function getInput(){
 return $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__object-directGet__ternary_white_list__username_at-concatenation_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__SESSION__ternary_white_list__username_at-concatenation_simple_quote
"<?php
$tainted = `cat /tmp/tainted.txt`;
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__backticks__ternary_white_list__username_at-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input['realOne'];
 }
 public function __construct(){
 $this->input = array();
 $this->input['test']= 'safe' ;
 $this->input['realOne']= $_GET['UserData'] ;
 $this->input['trap']= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__object-indexArray__whitelist_using_array__concatenation-right_verification
"<?php
$tainted = $_POST['UserData'];
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__POST__ternary_white_list__username_at-concatenation_simple_quote
"<?php
$script = ""/tmp/tainted.php"";
exec($script, $result, $return);
$tainted = $result[0];
$tainted = (int) $tainted ;
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__exec__CAST-cast_int__concatenation-right_verification
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__proc_open__whitelist_using_array__username_at-concatenation_simple_quote
"<?php
$array = array();
$array[] = 'safe' ;
$array[] = $_GET['userData'] ;
$array[] = 'safe' ;
$tainted = $array[1] ;
$tainted = (int) $tainted ;
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__array-GET__CAST-cast_int__concatenation-right_verification
"<?php
$tainted = $_GET['UserData'];
$tainted = (int) $tainted ;
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__GET__CAST-cast_int__concatenation-right_verification
"<?php
$handle = @fopen(""/tmp/tainted.txt"", ""r"");
if ($handle) {
 if(($tainted = fgets($handle, 4096)) == false) {
 $tainted = """";
 }
 fclose($handle);
} else {
 $tainted = """";
}
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__fopen__ternary_white_list__concatenation-right_verification
"<?php
$tainted = $_GET['UserData'];
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__GET__ternary_white_list__concatenation-right_verification
"<?php
$tainted = $_POST['UserData'];
$tainted = (int) $tainted ;
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__POST__CAST-cast_int__concatenation-right_verification
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input;
 }
 public function __construct(){
 $this->input = $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = (int) $tainted ;
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__object-classicGet__CAST-cast_int__concatenation-right_verification
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input[1];
 }
 public function __construct(){
 $this->input = array();
 $this->input[0]= 'safe' ;
 $this->input[1]= $_GET['UserData'] ;
 $this->input[2]= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__object-Array__ternary_white_list__username_at-concatenation_simple_quote
"<?php
$tainted = `cat /tmp/tainted.txt`;
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__backticks__whitelist_using_array__concatenation-right_verification
"<?php
$tainted = `cat /tmp/tainted.txt`;
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__backticks__whitelist_using_array__username_at-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input[1];
 }
 public function __construct(){
 $this->input = array();
 $this->input[0]= 'safe' ;
 $this->input[1]= $_GET['UserData'] ;
 $this->input[2]= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$query = ""//User[@username='"". $tainted . ""']"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__object-Array__whitelist_using_array__username_at-concatenation_simple_quote
"<?php
$tainted = system('ls', $retval);
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__system__ternary_white_list__concatenation-right_verification
"<?php
$tainted = system('ls', $retval);
$tainted = (int) $tainted ;
$query=""//Course[@id="". $tainted . ""and @allowed="". $_SESSION[userid] . ""]"";
$xml = simplexml_load_file(""users.xml"");//file load
echo ""query : "". $query .""<br /><br />"" ;
$res=$xml->xpath($query);//execution
print_r($res);
echo ""<br />"" ;
 ?>",0,CWE_862_XPath__system__CAST-cast_int__concatenation-right_verification
